node_id,node_name,mesh_ui,node_type
N370,"aorta, thoracic",D001013,Anatomy
N371,aortic diseases,D001018,Disease
N372,cell survival,D002470,Biological_Process
N373,cholecalciferol,D002762,Chemical
N374,diet,D004032,Biological_Process
N375,dietary proteins,D004044,Chemical
N376,energy intake,D002149,Biological_Process
N377,"fats, unsaturated",D005224,Chemical
N378,oxidation-reduction,D010084,Biological_Process
N379,aneurysm,D000783,Disease
N380,capillaries,D002196,Anatomy
N381,cytomegalovirus infections,D003586,Disease
N382,endothelium,D004727,Anatomy
N383,fluorescein angiography,D005451,Technique
N384,retinal artery,D012161,Anatomy
N385,retinal vein,D012169,Anatomy
N386,retinal vessels,D012171,Anatomy
N387,retinitis,D012173,Disease
N388,intestinal neoplasms,D007414,Disease
N389,doxorubicin,D004317,Chemical
N390,heart block,D006327,Disease
N391,"infant, newborn",D007231,Other
N392,lung,D008168,Anatomy
N393,lymph nodes,D008198,Anatomy
N394,pericarditis,D010493,Disease
N395,immunoglobulin a,D007070,Chemical
N396,immunoglobulin g,D007074,Chemical
N397,immunoglobulin light chains,D007147,Chemical
N398,immunoglobulin kappa-chains,D007145,Chemical
N399,acetylglucosaminidase,D000118,Chemical
N400,catalase,D002374,Chemical
N401,cathepsins,D002403,Chemical
N402,lysosomes,D008247,Anatomy
N403,"mitochondria, muscle",D008931,Anatomy
N404,muscle proteins,D009124,Chemical
N405,"muscle, smooth",D009130,Anatomy
N406,nucleotidases,D009708,Chemical
N407,organoids,D009940,Anatomy
N408,adenosine triphosphate,D000255,Chemical
N409,aortic valve stenosis,D001024,Disease
N410,creatine kinase,D003402,Chemical
N411,energy metabolism,D004734,Biological_Process
N412,oxidoreductases,D010088,Chemical
N413,oxygen consumption,D010101,Biological_Process
N414,phosphates,D010710,Chemical
N415,phosphocreatine,D010725,Chemical
N416,phosphoric monoester hydrolases,D010744,Chemical
N417,pulmonary valve stenosis,D011666,Disease
N418,"3',5'-cyclic-amp phosphodiesterases",D015105,Chemical
N419,"3',5'-cyclic-gmp phosphodiesterases",D015106,Chemical
N420,dna,D004247,Chemical
N421,enzyme activation,D004789,Biological_Process
N422,kinetics,D007700,Biological_Process
N423,cortical spreading depression,D013181,Biological_Process
N424,gerbillinae,D005849,Other
N425,"hypoxia, brain",D002534,Disease
N426,glomerular filtration rate,D005919,Technique
N427,natriuresis,D009318,Biological_Process
N428,regional blood flow,D012039,Biological_Process
N429,arteritis,D001167,Disease
N430,cauda equina,D002420,Anatomy
N431,intermittent claudication,D007383,Disease
N432,ischemia,D007511,Disease
N433,leg,D007866,Anatomy
N434,nervous system diseases,D009422,Disease
N435,spinal cord,D013116,Anatomy
N436,spinal cord compression,D013117,Disease
N437,arteriovenous fistula,D001164,Disease
N438,dermatitis,D003872,Disease
N439,venous insufficiency,D014689,Disease
N440,"embolism, air",D004618,Disease
N441,noble gases,D005741,Chemical
N442,respiration,D012119,Biological_Process
N443,respiratory dead space,D012126,Biological_Process
N444,ventilation-perfusion ratio,D014692,Technique
N445,"acidosis, respiratory",D000142,Disease
N446,bronchopneumonia,D001996,Disease
N447,hemiplegia,D006429,Disease
N448,pneumonia,D011014,Disease
N449,respiratory insufficiency,D012131,Disease
N450,infections,D007239,Disease
N451,ophthalmoplegia,D009886,Disease
N452,wounds and injuries,D014947,Disease
N453,antithrombin iii,D000990,Chemical
N454,heparin,D006493,Chemical
N455,thrombophlebitis,D013924,Disease
N456,vitamin k,D014812,Chemical
N457,acid-base imbalance,D000137,Disease
N458,carbon monoxide poisoning,D002249,Disease
N459,cardiovascular diseases,D002318,Disease
N460,hypothermia,D007035,Disease
N461,poisoning,D011041,Disease
N462,respiratory tract diseases,D012140,Disease
N463,dehydration,D003681,Disease
N464,"diet, sodium-restricted",D004039,Technique
N465,heart diseases,D006331,Disease
N466,"kidney failure, chronic",D007676,Disease
N467,black or african american,D001741,Other
N468,black people,D044383,Other
N469,"child, preschool",D002675,Other
N470,"contraceptives, oral",D003276,Chemical
N471,hypobetalipoproteinemias,D006995,Disease
N472,jamaica,D007563,Other
N473,london,D008131,Other
N474,new zealand,D009520,Other
N475,norway,D009664,Other
N476,sex factors,D012737,Other
N477,united states,D014481,Other
N478,white people,D044465,Other
N479,flavonoids,D005419,Chemical
N480,hemorrhoids,D006484,Disease
N481,hemostatics,D006490,Chemical
N482,rectal diseases,D012002,Disease
N483,adrenal cortex,D000302,Anatomy
N484,anticholesteremic agents,D000924,Chemical
N485,esterification,D004951,Biological_Process
N486,liver,D008099,Anatomy
N487,tangier disease,D013631,Disease
N488,whole-body counting,D014915,Technique
N489,recurrence,D012008,Disease
N490,serotonin,D012701,Chemical
N491,sulfinpyrazone,D013442,Chemical
N492,blood flow velocity,D001783,Technique
N493,hyperemia,D006940,Disease
